caldt,spret
20030314,0.001544
20030317,0.035568
20030318,0.00435
20030319,0.008761
20030320,0.002012
20030321,0.023016
20030324,-0.035073
20030325,0.01211
20030326,-0.005364
20030327,-0.001528
20030328,-0.005695
20030331,-0.017773
20030401,0.012179
20030402,0.026384
20030403,-0.005007
20030404,0.002644
20030407,0.001289
20030408,-0.001538
20030409,-0.01395
20030410,0.006378
20030411,-0.003608
20030414,0.019493
20030415,0.006465
20030416,-0.012187
20030417,0.015607
20030421,-0.001818
20030422,0.021682
20030423,0.008705
20030424,-0.008316
20030425,-0.013862
20030428,0.018076
20030429,0.00335
20030430,-0.000962
20030501,-0.000452
20030502,0.015234
20030505,-0.003538
20030506,0.008504
20030507,-0.005106
20030508,-0.009991
20030509,0.014479
20030512,0.012629
20030513,-0.002764
20030514,-0.002883
20030515,0.007774
20030516,-0.002362
20030519,-0.024943
20030520,-0.00114
20030521,0.004004
20030522,0.009243
20030523,0.001544
20030527,0.019697
20030528,0.002053
20030529,-0.003851
20030530,0.014925
20030602,0.003332
20030603,0.00484
20030604,0.015265
20030605,0.004117
20030606,-0.002472
20030609,-0.011825
20030610,0.009157
20030611,0.013183
20030612,0.000975
20030613,-0.010008
20030616,0.022413
20030617,0.001095
20030618,-0.001437
20030619,-0.015104
20030620,0.001001
20030623,-0.014234
20030624,0.00199
20030625,-0.008161
20030626,0.010949
20030627,-0.009802
20030630,-0.001559
20030701,0.008154
20030702,0.011611
20030703,-0.007889
20030707,0.018744
20030708,0.003558
20030709,-0.005333
20030710,-0.01337
20030711,0.009603
20030714,0.006048
20030715,-0.003806
20030716,-0.006115
20030717,-0.012321
20030718,0.011728
20030721,-0.014638
20030722,0.009655
20030723,0.000771
20030724,-0.007269
20030725,0.017468
20030728,-0.002175
20030729,-0.007285
20030730,-0.001563
20030731,0.003175
20030801,-0.010252
20030804,0.002728
20030805,-0.017644
20030806,0.001924
20030807,0.007343
20030808,0.003572
20030811,0.003208
20030812,0.010111
20030813,-0.006115
20030814,0.006488
20030815,0.000418
20030818,0.00933
20030819,0.002735
20030820,-0.00205
20030821,0.003015
20030822,-0.01019
20030825,0.000658
20030826,0.002993
20030827,0.000334
20030828,0.006119
20030829,0.00527
20030902,0.013941
20030903,0.004405
20030904,0.001619
20030905,-0.006311
20030908,0.010195
20030909,-0.00849
20030910,-0.011686
20030911,0.005713
20030912,0.002236
20030915,-0.00364
20030916,0.014114
20030917,-0.003231
20030918,0.013328
20030919,-0.002951
20030922,-0.013256
20030923,0.005983
20030924,-0.018881
20030925,-0.005729
20030926,-0.006388
20030929,0.009571
20030930,-0.010382
20031001,0.022056
20031002,0.002432
20031003,0.00929
20031006,0.004461
20031007,0.004694
20031008,-0.004692
20031009,0.004844
20031010,-0.000769
20031013,0.006812
20031014,0.003898
20031015,-0.002594
20031016,0.003124
20031017,-0.010132
20031020,0.005171
20031021,0.001332
20031022,-0.0148
20031023,0.003225
20031024,-0.004808
20031027,0.002041
20031028,0.015162
20031029,0.001575
20031030,-0.000914
20031031,0.00339
20031103,0.008194
