date,PFE,NKE,C,TM,BIIB,AZN
20121112,-0.002482,-0.000217,0.013638,-0.012079,0.010359,-0.002861
20121113,-0.002489,-0.008885,-0.007139,0.002188,-0.010467,0.00331
20121114,-0.009979,-0.009511,-0.031527,-0.018749,-0.012462,-0.009459
20121115,-0.006291,0.002539,0.005425,0.050386,0.011959,0.000888
20121116,0.008445,0.019377,-0.006532,0.022801,0.023968,-0.016197
20121119,0.011735,0.040285,0.032018,0.014862,0.016243,0.011276
20121120,0.0058,-0.007371,-0.00277,-0.005281,0.032188,0.006021
20121121,0.002883,-0.000105,-0.006389,0.018825,-0.005332,0.005542
20121123,0.007392,0.012029,0.007269,0.013976,0.017033,0.02425
20121126,-0.001834,0.009406,-0.012767,0.013083,-0.005071,-0.003229
20121127,-0.009598,-0.006656,-0.0149,-0.01718,-0.008249,-0.004535
20121128,0.01732,0.021853,0.000856,-0.001525,0.010684,0.013883
20121129,0.007296,-0.001614,0.003992,0.016449,0.00562,0.01733
20121130,0.006841,-0.015055,-0.018177,-0.004971,-0.008051,-0.00021
20121203,0.002798,0.000821,-0.010124,-0.004879,0.009793,0.004838
20121204,0.002989,0.001128,0.002046,-0.001634,0.008701,0.002093
20121205,0.018875,0.000102,0.063284,-0.002923,-0.008626,0.00752
20121206,-0.00117,0.011875,0.015359,0.004574,0.007838,-0.000415
20121207,-0.001952,0.001727,0.016748,0.005137,-0.002933,-0.000207
20121210,-0.005869,-0.005173,-0.011955,-0.002091,0.012262,0.003112
20121211,0.009052,0.01356,-0.005109,0.001513,0.007052,0.00848
20121212,-0.00507,-0.002113,0.014324,0.008483,-0.012126,0.002871
20121213,-0.007056,-0.018851,-0.006395,-0.010371,-0.005185,-0.029448
20121214,-0.005922,-0.004315,0.008313,0.000466,-0.002045,0
20121217,0.00695,0.011144,0.041223,0.007798,0.009256,-0.001896
20121218,0.01124,0.009491,0.007918,0.03072,0.005044,0.013511
20121219,-0.01131,-0.011524,-0.000253,0.016807,-0.013753,-0.009998
20121220,0.003156,0.012477,0.018251,0.020716,-0.000661,0.004629
20121221,-0.013763,0.061616,-0.016928,-0.02008,-0.008597,-0.005864
20121224,0,0.004757,-0.002786,0.004517,-0.005603,-0.004635
20121226,0.00638,-0.027841,0.004317,-0.008993,-0.004293,-0.001693
20121227,-0.003962,0.008377,-0.007585,0.024126,-0.004514,0
20121228,-0.009944,-0.014876,-0.006115,-0.005079,-0.011573,-0.006148
20121231,0.007605,0.011963,0.014099,0.012816,0.002191,0.008319
20130102,0.033123,0.004651,0.04272,0.029383,0.0248,0.02052
