Date,NDAQ,BLV,AMGN, CVX
11/5/2012,-0.017901797,0.013617518,-0.014806232,-0.023345954
11/12/2012,-0.027130069,0.001435797,-0.003200834,-0.024159774
11/19/2012,0.036165507,-0.010957564,0.036195832,0.029980465
11/26/2012,0.018923434,0.003209752,0.013698739,0.00208595
12/3/2012,-0.021460973,0.001035475,-0.005405502,0.012300042
12/10/2012,0.026329563,-0.006619754,0.009963755,0.007757758
12/17/2012,0.053305653,-0.007913392,-0.022869892,0.017529199
12/24/2012,-0.023538617,0.008764952,-0.022028487,-0.029714688
12/31/2012,0.063881129,-0.023859785,0.043876207,0.038046018
1/7/2013,0.003776437,0.009733949,-0.022701823,0.011131297
1/14/2013,0.020692203,0,-0.056117666,0.031414947
1/22/2013,0.021010038,-0.010068655,0.016325489,0.008330418
1/28/2013,0.033934915,-0.017866907,0.034524134,0.002581762
2/4/2013,0.028980469,0.008180371,0.005446019,-0.007381975
2/11/2013,0.054292498,0,-0.031170249,0.001859424
2/19/2013,0.009333778,0.001973732,0.038392494,0.008698691
2/25/2013,0.007015324,0.014870513,0.066344154,0.008106269
3/4/2013,0.014249517,-0.023796596,0.004536579,0.014285685
3/11/2013,0.020967059,0.00288086,-0.012795683,0.009361559
3/18/2013,-0.006447582,0.007954916,0.051737301,0.012533419
3/25/2013,-0.001854203,0.004603728,0.061619757,-0.019475134
4/1/2013,-0.109597521,0.029534398,0.014925322,-0.01094101
4/8/2013,0.014603675,0.000852553,0.072376069,0.02059235
4/15/2013,-0.041466825,0.005323627,-0.001702995,-0.033683541
4/22/2013,0.033607407,0.004871825,-0.02693484,0.035720434
4/29/2013,0.053614692,-0.0073439,-0.017530828,0.028740415
5/6/2013,0.001313196,-0.015445177,0.002253907,-0.00210541
5/13/2013,0.024918079,-0.0082225,-0.00584237,0.009618704
5/20/2013,-0.017274489,-0.007526971,0.002650791,0.016447913
5/28/2013,0.024088553,-0.021653092,-0.050797893,-0.021522544
6/3/2013,0.045136673,-0.003145578,-0.017109303,-0.008553944
6/10/2013,-0.004486717,-0.001017751,-0.014067412,-0.011668036
